movies,Leen Dream,Kiatten Mittens,Kirspy Nashbrowns,Amirite?,Green-Kiats,Insert Clever Name Here,Washington Redskins,Secret Agent Kiat
22 Jump Street,0,0,0,0,0,0,0,0
American Hustle,0,0,0,0,0,0,0,0
American Sniper,0,0,0,0,0,0,0,0
August: Osage County,0,0,0,0,0,0,0,0
Big Hero 6,0,0,0,0,0,0,0,0
Birdman,0,0,0,0,0,0,0,0
Boyhood,0,0,0,0,0,0,0,0
Captian Phillips,0,0,0,0,0,0,0,0
Chef,0,0,0,0,0,0,0,0
Dallas Buyers Club,0,0,0,0,0,0,0,0
Edge of Tomorrow,0,0,0,0,0,0,0,0
Elysium,0,0,0,0,0,0,0,0
Foxcatcher,0,0,0,0,0,0,0,0
Gone Girl,0,0,0,0,0,0,0,0
Gravity,0,0,0,0,0,0,0,0
Guardians of the Galaxy,0,0,0,0,0,0,0,0
Interstellar,0,0,0,0,0,0,0,0
Man of Steel,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0
Noah,0,0,0,0,0,0,0,0
Pacific Rim,0,0,0,0,0,0,0,0
Philomena,0,0,0,0,0,0,0,0
Rush,0,0,0,0,0,0,0,0
Selma,0,0,0,0,0,0,0,0
Stoker,0,0,0,0,0,0,0,0
The Grand Budapest Hotel,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,0,0,0,0,0,0,0,0
The Imitation Game,0,0,0,0,0,0,0,0
The Judge,0,0,0,0,0,0,0,0
The Theory of Everything,0,0,0,0,0,0,0,0
The Wolf of Wall Street,0,0,0,0,0,0,0,0
Whiplash,0,0,0,0,0,0,0,0
